,UNKNOWN,Abl(h),ACK1(h),ALK(h),ALK4(h),AMPKa1(h),AMPKa2(h),Arg(h),ARK5(h),ASK1(h),Aurora-A(h),Aurora-B(h),Aurora-C(h),Axl(h),Blk(h),Bmx(h),BRK(h),BrSK1(h),BrSK2(h),BTK(h),CaMKI(h),CaMKIIb(h),CaMKIIg(h),CaMKIId(h),CaMKIV(h),CaMKId(h),CDK1/cyclinB(h),CDK2/cyclinA(h),CDK2/cyclinE(h),CDK3/cyclinE(h),CDK5/p25(h),CDK5/p35(h),CDK6/cyclinD3(h),CDK7/cyclinH/MAT1(h),CDK9/cyclin T1(h),CHK1(h),CHK2(h),CK1g1(h),CK1g2(h),CK1g3(h),CK1d(h),CK2(h),CK2a2(h),cKit(h),CLK2(h),CLK3(h),c-RAF(h),CSK(h),cSRC(h),DAPK1(h),DAPK2(h),DCAMKL2(h),DDR2(h),DMPK(h),DRAK1(h),DYRK2(h),eEF-2K(h),EGFR(h),EphA1(h),EphA2(h),EphA3(h),EphA4(h),EphA5(h),EphA7(h),EphA8(h),EphB1(h),EphB2(h),EphB3(h),EphB4(h),ErbB4(h),FAK(h),Fer(h),Fes(h),FGFR1(h),FGFR2(h),FGFR3(h),FGFR4(h),Fgr(h),Flt1(h),Flt3(h),Flt4(h),Fms(h),Fyn(h),GCK(h),GRK5(h),GRK6(h),GRK7(h),GSK3a(h),GSK3b(h),Haspin(h),Hck(h),Hck(h) activated,HIPK1(h),HIPK2(h),HIPK3(h),IGF-1R(h),"IGF-1R(h), activated",IKKa(h),IKKb(h),IR(h),"IR(h), activated",IRAK1(h),IRAK4(h),IRR(h),Itk(h),JAK2(h),JAK3(h),JNK1a1(h),JNK2a2(h),JNK3(h),KDR(h),Lck(h),Lck(h) activated,LIMK1(h),LKB1(h),LOK(h),Lyn(h),MAPK1(h),MAPK2(h),MAPKAP-K2(h),MAPKAP-K3(h),MARK1(h),MEK1(h),MELK(h),Mer(h),Met(h),MINK(h),MKK6(h),MKK7b(h),MLCK(h),MLK1(h),Mnk2(h),MRCKa(h),MRCKb(h),MSK1(h),MSK2(h),MSSK1(h),MST1(h),MST2(h),MST3(h),mTOR(h),mTOR/FKBP12(h),MuSK(h),NEK11(h),NEK2(h),NEK3(h),NEK6(h),NEK7(h),NLK(h),p70S6K(h),PAK2(h),PAK3(h),PAK4(h),PAK5(h),PAK6(h),PAR-1Ba(h),PASK(h),PDGFRa(h),PDGFRb(h),PDK1(h),PhKg2(h),Pim-1(h),Pim-2(h),Pim-3(h),PKA(h),PKBa(h),PKBb(h),PKBg(h),PKCa(h),PKCbI(h),PKCbII(h),PKCg(h),PKCd(h),PKCe(h),PKCz(h),PKCh(h),PKCq(h),PKCi(h),PKCm(h),PKD2(h),PKG1a(h),PKG1b(h),Plk1(h),Plk3(h),PRAK(h),PRK2(h),PrKX(h),PTK5(h),Pyk2(h),Ret(h),RIPK2(h),ROCK-I(h),ROCK-II(h),Ron(h),Ros(h),Rse(h),Rsk1(h),Rsk2(h),Rsk3(h),Rsk4(h),SAPK2a(h),SAPK2b(h),SAPK3(h),SAPK4(h),SGK(h),SGK2(h),SGK3(h),SIK(h),Snk(h),SRPK1(h),SRPK2(h),STK33(h),Syk(h),TAK1(h),TAO1(h),TAO2(h),TAO3(h),TBK1(h),Tec(h) activated,TGFBR1(h),Tie2 (h),TLK2(h),TrkA(h),TrkB(h),TSSK1(h),TSSK2(h),Txk(h),ULK2(h),ULK3(h),VRK2(h),WNK2(h),WNK3(h),Yes(h),ZAP-70(h),ZIPK(h)
JNK Inhibitor II (SP600125),48.72711178,17,50,39,14,36,31,13,72,64,81,99,91,50,3,41,5,62,36,12,23,53,63,57,27,30,48,41,92,74,100,91,24,25,4,28,71,1,30,17,95,40,41,9,64,28,31,-5,11,9,13,-16,7,-13,94,96,-12,-12,33,12,25,-5,-15,20,8,9,-1,-11,11,-4,48,25,66,61,48,28,-10,25,74,94,98,64,40,84,16,13,29,46,26,90,43,20,7,45,27,9,8,43,22,19,30,31,64,-2,33,42,43,67,74,95,83,30,11,36,25,13,30,41,12,21,0,62,25,87,78,13,14,18,42,71,87,57,-15,10,7,24,10,48,84,43,-4,-20,40,50,14,30,-7,1,22,45,4,15,12,1,9,45,-25,-8,1,28,23,32,42,25,11,-13,-4,11,2,-2,-8,27,1,-1,-10,14,10,-17,68,8,21,10,31,6,41,26,14,9,32,57,30,-22,26,22,7,3,14,46,42,57,4,12,18,4,40,29,15,4,15,2,3,39,23,59,31,-1,31,65,11,12,5,29,90,68,25,8,42,10,27,22,21,13,2,6,13
JNK Inhibitor IX,26.22330049,-4,15,20,13,14,2,-11,-10,12,8,31,2,4,-21,23,-4,-1,-17,-12,3,6,-6,-6,-6,-16,-6,4,4,-1,-2,-14,-7,-14,1,-2,-3,-1,-1,22,17,3,-2,-13,-15,23,9,-20,-16,7,7,-8,-3,0,23,-2,-13,-16,-10,-1,-2,-25,-13,-9,-1,-15,-12,-16,10,-10,-9,11,-8,-28,-11,-21,-16,1,-4,5,8,31,28,-3,-8,2,-9,16,-13,18,37,-9,-11,-9,1,-36,-4,-2,-20,-37,-4,6,4,-20,-7,-4,-4,-1,42,92,-7,22,-11,8,14,10,10,-19,-4,14,-17,0,-5,13,6,-22,5,7,12,-8,4,-7,-5,0,-25,-13,-5,16,5,1,-1,-22,4,18,-12,24,-15,-2,-13,9,7,30,-4,-11,0,-3,-15,-19,-12,-12,-13,-20,-5,12,-5,-12,9,-4,-9,-33,-11,6,-5,-5,-15,9,-6,-9,8,-8,0,4,6,-6,13,-11,20,12,-15,-1,-5,-22,-13,26,7,-3,-13,51,2,8,20,-14,4,-2,-7,-4,-12,-36,-7,-10,-6,-14,-2,-7,-8,-18,-3,33,6,-2,-15,0,19,-1,-9,17,10,-20,-1,-9,-4,-7,-29,-2,-11
Kenpaullone,19.10561776,36,76,12,-5,25,39,24,87,16,3,31,24,15,52,28,5,36,40,15,6,19,50,42,-1,7,48,72,64,46,62,53,22,9,95,23,63,-6,-14,-1,20,21,-12,-16,20,22,25,-4,27,16,-1,-8,11,3,24,8,-6,-13,9,9,17,-3,-14,2,5,2,-21,-14,11,-11,18,14,37,13,-6,-27,-18,52,23,35,44,51,69,94,5,8,11,95,92,40,52,54,-3,2,-2,-13,8,-24,-15,5,7,6,19,-7,17,0,-4,5,13,33,26,82,71,11,3,4,90,15,-14,27,-6,49,-7,11,22,-23,73,0,5,11,78,10,-3,28,1,18,2,56,13,35,-14,-3,58,62,5,19,-13,0,17,34,9,6,75,65,27,38,-18,-17,-12,15,-20,25,0,17,11,-7,11,-1,10,-14,-17,-4,1,-3,-7,28,51,-3,1,-4,2,17,24,5,3,40,15,32,11,7,51,-17,27,28,0,8,22,67,88,15,10,2,-1,2,5,1,9,9,1,-5,-5,3,28,19,24,16,22,47,8,15,2,11,41,-3,13,4,27,21,26,1,7,12,58,-10,6
KN-62,17.23030015,5,0,26,-8,-2,8,-1,-5,-15,3,-1,-4,-11,2,15,-4,12,-1,0,-12,0,-6,1,-12,-12,3,-9,12,-2,7,-7,-7,-5,5,-3,8,5,7,10,3,-5,-12,-1,-4,6,-3,4,0,8,-5,-12,4,-35,-17,-3,8,-5,3,-6,-4,-3,-12,-1,-11,-5,-8,-16,-5,-7,-19,-8,-6,13,3,8,-9,-5,5,7,-1,7,9,-11,2,-8,6,-4,-7,10,14,-2,-6,0,1,-14,-7,-11,-4,-34,5,-3,-5,-6,-6,-7,-1,13,-14,24,-9,-44,-13,1,8,-11,22,-12,-9,3,-3,1,-7,6,-1,15,-6,-3,7,0,-3,-3,1,-5,-3,3,0,-1,1,-4,-12,19,-15,2,1,1,-20,-4,0,-12,-9,4,-3,-15,16,2,21,-6,-7,-4,-8,1,2,-9,-3,0,-20,5,7,-1,-10,1,8,13,-6,-16,0,-7,-13,-3,10,33,-4,-3,15,-6,-16,-8,2,-7,-5,-14,-3,-6,-3,-18,3,14,1,-2,-7,-13,-5,19,-23,1,-10,-5,0,-3,0,-7,11,1,-4,12,7,-7,3,-10,13,1,-2,21,-4,-6,2,-7,4,-6,-6,0,-5,0,3
LY294002,23.41032408,10,24,27,-24,16,10,-8,3,2,22,11,-1,20,-2,17,-1,19,3,-10,-4,7,0,-2,-7,7,-10,-31,23,2,5,6,14,17,10,16,12,10,19,10,15,46,-4,-3,-11,20,32,-7,7,18,8,9,-5,-34,-3,7,12,-8,14,-6,1,-7,-4,9,0,-7,-6,-8,8,21,-17,-1,-11,-7,-7,-1,-3,-15,11,15,15,34,12,18,3,8,4,-3,11,2,34,-6,6,10,15,-33,1,-9,-5,-7,4,18,11,-14,0,-5,8,3,-3,30,4,-9,14,-1,0,11,5,22,-2,15,12,17,-3,9,-3,-9,13,28,9,24,12,-5,15,6,-29,9,-9,13,-3,41,76,15,12,1,19,-4,6,2,8,1,10,36,3,11,4,3,-25,-9,10,-7,3,53,12,13,18,-3,-32,4,-5,0,5,-14,-14,8,0,-4,3,8,-10,-1,-7,20,39,12,11,4,-19,3,-27,8,5,-13,0,36,7,7,-38,31,1,-2,10,6,3,-1,25,13,4,11,-4,-5,5,1,-14,12,4,-9,7,32,12,17,29,2,21,-9,3,17,18,-1,0,-4,-7,-3,-3,0,6
MEK1/2 Inhibitor (SL-327),6.617707326,6,50,35,-8,25,23,12,-6,-6,25,74,16,4,10,26,-5,15,-5,9,17,21,10,38,-7,8,-4,14,3,4,10,-10,2,-2,19,10,6,-3,-6,18,13,4,-8,-15,3,5,24,-6,-25,16,2,-2,9,5,4,-5,19,-12,6,2,4,-16,2,1,15,-10,-8,-5,7,4,1,12,7,-12,0,-2,14,12,17,38,35,14,29,31,3,14,3,11,1,-8,33,1,-9,1,7,1,-3,-1,-6,-13,-2,9,17,-5,0,1,-1,5,7,-14,3,17,-10,9,-5,31,35,5,-4,30,2,28,-4,33,6,2,-6,7,12,5,7,-2,-7,6,15,3,-9,-5,24,30,13,-18,14,36,7,25,-13,-1,13,32,1,12,-1,10,4,35,-22,-12,2,2,-13,21,-30,13,21,-12,4,4,-7,-14,-14,2,1,0,-5,24,16,-6,18,-9,3,0,15,-1,9,32,5,6,0,-9,7,-10,-2,12,0,-3,60,72,47,-3,13,-4,-4,5,19,0,-2,-4,0,1,-8,8,27,-1,11,-2,1,69,7,-1,-11,2,10,22,1,38,26,-19,5,-1,-1,7,-7,0,11
Met Kinase Inhibitor (SU11274),42.63232956,-10,21,34,-31,75,67,24,70,19,95,97,82,87,84,14,-2,29,21,-1,5,3,54,56,3,3,-8,-26,3,-7,12,6,2,96,22,9,16,1,23,16,31,16,-21,69,93,49,3,-19,23,2,0,15,1,49,-28,14,21,-14,15,1,-10,3,2,4,-2,-3,9,-12,-8,-10,-29,-7,-27,45,38,26,-2,65,63,33,55,83,14,67,-2,0,35,-9,0,10,47,44,0,22,22,-29,-13,-1,-4,-4,1,63,36,-10,19,65,46,-8,-6,3,49,47,75,7,-5,87,77,10,7,4,-7,56,57,29,99,98,35,27,-1,24,21,-5,-10,1,-23,-2,-5,18,11,79,12,-12,54,24,61,-7,5,-1,-11,34,1,55,5,2,7,52,-21,52,17,-9,8,8,-1,7,14,-3,-6,-3,-3,-29,1,-5,3,3,0,-11,-6,12,13,-7,-22,21,7,0,-29,59,1,-7,57,80,1,-23,29,39,4,52,7,56,5,19,6,-4,-7,-6,6,-6,-14,21,-1,28,35,16,-24,12,66,81,74,40,-5,14,57,-6,100,85,60,7,-11,86,70,-12,-16,-11,86,2,-5
MNK1 Inhibitor (CGP 57380),27.03309673,15,40,18,-14,0,1,30,2,17,4,45,20,10,97,48,49,26,35,26,9,33,13,23,0,2,15,12,9,14,2,-10,-7,2,20,14,27,16,0,15,58,-4,-4,-6,-9,13,44,10,0,-2,1,-7,5,7,55,21,0,75,57,11,15,-11,18,-5,17,13,11,-23,58,82,-9,2,2,12,9,-13,2,44,11,-14,20,31,46,2,-3,3,-10,2,0,22,63,44,-8,0,13,-27,-9,-5,-15,-41,3,7,12,-24,-3,-3,-1,-5,8,2,3,51,69,10,-2,47,81,10,-1,25,-7,12,40,11,9,-35,12,12,16,0,40,40,-17,5,-17,8,2,28,-4,14,2,9,14,43,13,18,-18,0,7,9,-6,-4,-11,-4,-2,-5,8,-5,-7,8,-2,-15,-33,14,15,-11,11,13,-8,-22,-13,9,-4,-23,-3,-10,-7,-13,19,-6,0,5,13,-3,-9,-7,13,13,-1,28,54,-28,-4,11,-4,-4,-6,58,41,52,22,-3,-1,-3,6,-13,12,52,-2,5,-4,0,9,9,-7,-2,-1,23,18,-7,-4,-5,22,-23,-8,13,34,-20,3,3,-1,-1,7,1,-16
NF-kB Activation Inhibitor (QNZ/EVP4593),-7.745520712,0,19,19,-2,49,35,-4,-8,13,-2,59,11,28,32,14,5,1,-13,5,-7,28,76,69,-8,-11,1,8,2,-7,1,-23,-14,2,6,6,48,13,-3,14,23,0,-9,-14,13,6,18,-18,-10,6,-5,-10,9,2,38,-3,3,1,-7,2,5,-25,-10,-12,-4,-14,-11,-5,4,67,-6,7,9,8,23,46,-7,16,46,67,85,28,25,28,-4,-5,-10,6,-3,25,33,3,-15,23,8,-38,-16,-7,-15,-39,-1,0,12,-1,20,-7,3,12,7,3,21,24,17,-6,-5,8,76,-22,-4,30,-17,13,1,37,5,-24,-1,10,27,-4,4,-5,-31,-3,-9,8,-11,11,0,1,-1,-12,8,32,-14,19,-5,-11,-11,19,-3,23,-7,0,5,21,-7,13,3,-4,12,0,7,10,-3,-10,14,1,-3,-37,-18,13,-6,-19,-8,-2,-8,-13,9,-7,-8,14,10,-2,11,2,-9,7,12,24,-2,-6,-10,18,-7,-13,42,51,11,34,10,-7,-7,-12,12,-10,-9,-12,-6,-17,-14,-4,7,8,-3,10,-10,6,16,-17,-14,-11,11,18,11,-6,20,-21,-3,-6,-10,-2,37,-9,-11
PD98059,20.34162254,-11,17,5,-11,-1,2,-15,-9,-19,-22,-13,1,-19,-14,20,-5,-1,-23,6,3,8,2,-1,-8,-23,1,7,4,10,-2,-12,-2,-3,-4,-4,15,5,-8,15,-2,6,-19,-14,-16,10,15,-4,-13,19,1,-7,9,-22,-1,0,-1,-7,1,3,-10,-9,-18,2,-5,-18,-18,-7,6,10,-15,-7,6,-43,-2,0,-28,3,-1,13,5,-14,7,9,0,1,4,-14,-6,-18,12,-6,-12,-9,1,9,7,-5,-25,-9,4,2,-9,-6,-8,-11,-13,-6,-2,16,-1,15,-3,7,-3,-14,7,-6,-14,1,-22,13,-3,-9,4,-17,2,-38,-6,-7,-11,-7,-18,-2,-4,6,-9,14,3,9,8,14,-4,36,2,7,-14,-11,-7,-19,-3,-7,-5,-22,4,5,-7,-7,-14,-14,-13,18,-26,11,4,-6,-14,0,-13,-6,-21,-7,-13,-6,-11,-1,8,-14,15,-10,5,-14,19,-11,-25,6,10,7,-6,-14,8,-17,3,7,-6,22,9,-18,-2,8,14,-1,-2,1,21,11,-4,-40,-8,-4,-4,0,-4,-1,1,-12,5,3,13,-4,-8,2,1,-5,-3,11,23,-17,0,1,-4,18,-23,-37,-5
PI 3-Kg Inhibitor II (AS-604850),43.18640067,-3,4,31,-27,19,4,6,9,15,10,26,-10,2,-19,7,-10,14,24,14,14,6,-2,-6,1,16,-1,-40,-2,-4,-2,-1,2,12,6,6,7,5,24,9,20,68,48,-16,-16,9,8,-21,9,2,5,-10,-30,-4,-18,14,15,-16,7,-7,-3,-16,-15,11,-11,-15,-8,-25,-18,2,-12,-7,-28,-16,8,-11,-16,-5,8,11,2,44,7,-6,8,7,-7,0,7,22,40,-15,1,-4,11,2,-13,-12,-11,-11,-4,-2,-11,-39,-3,-1,6,-6,-6,19,-5,-25,13,-10,-2,11,0,10,-4,7,5,0,-14,-14,-10,13,15,28,4,23,4,-9,-12,-6,-33,-5,0,0,-6,40,18,-6,-10,20,3,-17,16,0,-7,27,-4,35,-2,20,19,4,19,-27,-8,-8,15,63,42,12,-2,-2,11,3,-6,-34,2,-3,-7,-6,3,-20,-9,10,-5,-7,-5,28,-1,6,-6,-17,12,-1,-35,9,1,5,-13,0,-5,4,-25,44,-17,-25,1,2,-10,-6,-16,-2,-9,6,-12,-18,-2,-6,-21,4,0,-13,-3,20,17,5,6,-12,14,56,1,7,-9,-6,-5,-12,-14,-4,-17,-16,-2
PI-103,20.25638083,-2,22,0,-48,-14,-13,1,2,-9,-4,2,-2,-11,-12,8,-13,5,4,-1,-3,2,2,-4,-8,-2,-11,-29,-16,-18,10,8,9,14,0,7,0,10,-8,-15,17,11,-40,-18,-18,21,19,-27,9,1,7,6,-7,-1,-16,6,-2,-19,9,-13,-14,-19,2,-3,-7,5,-30,-16,-6,-4,-44,-19,-37,3,-22,-12,-12,-18,9,11,21,22,18,-1,-4,-3,7,-11,-1,24,17,-2,15,16,7,-31,-7,-8,-13,2,-2,-1,1,-28,-2,-7,-3,-9,-7,9,-9,-33,9,-13,-4,4,1,17,-22,19,8,-4,-2,26,-10,-21,-10,9,-1,29,10,-9,3,9,-30,2,-10,3,-20,25,51,112,-14,2,17,-17,-2,0,-2,32,-5,40,0,16,0,9,-7,-27,-12,-16,-5,12,-2,2,5,-4,-30,5,-6,-12,2,-14,6,9,-4,-7,16,11,3,1,-20,10,-2,-2,2,-1,4,-1,-42,-1,11,-23,-3,-2,4,18,-41,30,-8,-15,-9,-2,-12,-6,-5,-12,-2,9,-11,3,-3,-1,-31,1,7,-4,-9,18,-6,18,20,-9,7,-13,-4,7,7,-8,-11,-11,-12,-19,-10,-10,15
Purvalanol A,14.33208203,38,55,29,-15,8,5,78,16,-2,-11,28,4,10,62,66,-9,5,-22,44,7,5,0,1,-7,-21,82,97,98,86,100,99,2,83,77,1,4,90,78,28,26,1,-10,-17,92,45,27,-7,77,13,-4,-28,9,2,-16,1,-9,-9,31,31,14,5,17,24,15,37,29,23,63,-5,35,10,21,2,-4,2,-18,77,12,83,58,30,96,25,3,-3,5,-4,-34,0,80,70,3,12,-1,2,52,-14,-16,19,66,19,55,17,32,-6,-14,-3,10,-2,-5,72,48,2,1,9,89,2,-2,19,-24,22,-11,34,74,17,-3,3,25,-6,90,-11,-12,2,-11,5,27,37,-4,42,-1,-1,52,41,10,16,-17,-2,0,12,1,0,69,50,43,5,-35,-9,-7,-11,-22,0,-16,13,-6,-13,-5,-6,-4,-8,-20,-2,-7,-12,-1,0,30,-15,19,-5,-7,-3,25,1,-2,-4,19,41,65,9,9,-15,5,8,-6,15,23,38,25,60,12,-1,-9,-8,-12,1,-7,15,-1,48,68,11,-2,27,18,2,18,10,37,5,1,0,97,92,3,6,34,17,61,15,9,18,96,-18,4
Rapamycin (Sirolimus),12.49938528,9,18,18,-15,21,7,-19,1,15,13,8,21,11,10,18,-1,30,3,9,-8,8,-3,-9,-31,10,-20,-29,-5,10,10,22,12,12,-20,23,2,13,7,4,16,1,-21,-10,-18,20,27,-12,11,5,7,-37,-15,-45,-13,1,-11,-22,16,-10,-3,-4,-12,0,4,-1,-21,0,-12,-6,-18,-6,-6,-11,-15,3,-38,2,12,0,1,15,12,15,5,11,6,-17,4,14,27,1,9,-3,9,-23,4,-21,-4,-7,8,26,-7,-26,-1,-1,-3,-7,-11,-8,0,-21,-2,-2,-1,15,14,17,-2,14,-3,22,-32,12,-1,5,19,7,-2,25,9,-5,-18,5,-23,13,-5,7,6,36,43,117,13,3,17,-13,3,3,-1,8,-1,43,11,3,-6,-11,-23,-11,-16,-17,6,-5,-10,3,-12,-5,-14,-3,1,-7,-5,-5,2,19,4,7,6,11,7,-2,-1,14,25,7,43,5,2,5,-19,-2,16,-27,1,1,10,6,-10,56,-2,-5,28,3,5,-10,7,-24,-12,-1,-4,-3,1,8,-6,11,-2,1,3,37,4,18,21,8,11,-2,14,10,-9,9,0,3,4,-7,-3,-4,-16
"ROCK Inhibitor, Y-27632 2HCl",16.84671246,11,17,20,-15,2,8,-18,-3,-2,2,-6,14,-2,-9,19,-1,3,-3,4,5,-1,0,0,0,-6,-11,6,1,2,4,-7,3,2,22,5,2,-8,-6,2,-6,-1,-2,-4,-3,6,7,4,-18,11,-5,0,2,-10,-14,-5,-10,34,-2,4,7,-6,1,0,1,4,-6,2,9,11,0,-10,-1,-8,5,8,4,11,6,12,5,22,16,14,4,9,3,-22,-2,-18,3,-4,-7,-3,-11,-1,1,0,-4,3,-4,-3,15,-2,6,-1,0,-5,3,-3,-1,-2,0,7,6,4,7,10,-2,15,8,10,-13,-3,1,-27,-10,0,13,-2,3,-1,-8,9,-5,4,-4,12,0,13,-17,0,-4,38,2,4,-4,-9,9,-42,-7,20,1,4,9,-3,2,-7,0,5,-7,6,-19,4,4,0,-12,4,-1,-3,5,-3,5,11,-10,11,3,-5,7,-3,1,10,9,3,-10,8,13,9,3,-8,6,-7,3,16,3,-5,5,-11,3,0,7,11,10,-9,0,10,-1,14,-3,3,-2,-2,-9,3,3,2,3,17,-5,8,-4,8,9,-7,-7,-5,14,1,4,0,0,13,-9,-6,7
SB202190 (FHPI),7.811091258,2,19,17,43,-2,-9,22,-22,8,-5,31,-13,-21,-9,21,51,-2,-24,-8,-11,8,-10,2,-15,-9,-1,5,-8,-9,-5,-27,-23,-4,6,-3,11,18,-11,8,93,-7,-22,-22,-23,6,86,-26,-8,8,-10,-13,31,-12,26,1,-9,26,13,7,-5,-17,-3,-3,7,-15,6,5,-3,-14,-17,-2,-7,-12,-15,-21,-14,7,17,13,10,21,17,-6,-9,-9,-21,5,12,45,41,2,-3,1,-6,-13,-22,10,-20,-36,3,-4,-7,-9,-8,-1,-8,1,31,90,2,39,20,-1,-8,8,34,-23,-13,13,-27,5,10,8,-10,-17,9,88,20,-11,46,-17,-16,-5,-2,23,-20,8,-8,7,2,-23,8,15,-27,15,-5,-14,51,28,5,35,-7,1,12,-1,8,-17,-11,-8,-7,4,-25,4,33,-13,9,-7,-12,-24,-10,-6,2,-22,-13,0,-1,-9,6,-2,-8,-8,6,-9,-10,-7,25,35,-11,-1,76,-17,5,16,-15,-3,-17,45,-5,12,99,98,-12,-11,1,1,-9,-35,-5,-23,-18,-5,-9,-4,-2,-6,-11,-10,13,0,-9,-12,-7,1,-12,-3,22,-12,-2,-17,-18,-9,-5,-17,-21
SB 202474,22.98411554,-1,12,27,6,-1,8,-4,1,1,1,33,-3,-21,-12,17,-10,9,-11,0,-8,16,-10,-10,-4,-6,-4,3,0,-2,-1,-9,-9,6,12,-5,9,4,-16,10,26,-6,-21,-27,-1,14,10,-23,-11,-1,2,-15,8,2,14,13,5,-14,-6,-5,-3,-14,-16,-14,5,-14,-20,-10,-12,8,-15,-4,-9,-4,-21,12,-2,-11,2,10,0,22,25,-4,-5,-3,-16,-6,-14,55,28,-15,-5,-3,5,-12,-4,0,-19,-38,-9,5,-9,-15,-3,0,-13,-4,-2,-26,-18,18,1,0,-12,12,14,0,-14,36,-21,10,8,15,-4,14,0,4,18,-12,2,-5,-15,-8,-8,5,-23,15,-18,-1,-2,-3,-17,38,-12,13,-16,-6,-6,15,-7,14,-11,-11,10,3,-28,-14,-10,-10,-3,-3,-26,9,9,-13,10,-2,-14,-27,-14,-8,-7,-4,-5,-5,-8,-7,-3,-6,-2,3,6,-6,-25,-2,14,-2,-15,-6,-2,-13,-7,7,-5,-7,-5,48,-8,11,11,44,-8,-10,10,1,-15,-39,-12,-7,-2,-5,-13,-6,-8,-11,-8,-8,-2,9,-11,-7,6,-13,-13,22,0,-15,-6,-13,-12,13,-23,-19,1
SB203580,1.076996213,11,7,-22,13,-9,-4,14,3,-38,-17,-2,-15,-22,-1,19,41,-4,-2,6,-15,-14,-3,-8,-13,-38,-7,-1,-5,-8,-17,-20,-16,-18,2,-4,10,-19,-20,-25,89,0,-22,-19,-14,2,83,-3,-12,15,10,-32,6,-22,-23,-15,-11,99,10,5,-5,-10,4,-2,9,-6,-1,-14,-7,-15,-25,-7,-12,-42,1,-15,-10,13,-1,9,7,-9,24,-4,-9,-7,-9,14,7,12,-5,7,-2,-10,-10,-2,-17,-13,-4,6,-3,-8,-13,-9,0,-12,-7,-11,26,80,-7,21,9,-10,-9,-9,53,-24,-18,-4,-4,-5,-13,-7,-17,-23,-12,57,14,-18,-1,-3,-6,-13,3,-2,-2,-11,-4,-15,-6,14,-43,10,-14,-4,-12,-1,38,-3,-10,-14,-6,-5,-10,-8,-13,-10,-20,-17,-9,16,-25,-7,-5,-2,-7,-17,-7,-1,-4,-4,-5,-25,-8,21,-5,-5,-23,-5,-1,-25,-17,10,-45,-3,2,29,-15,10,76,30,-19,-5,-17,-7,14,-8,-7,-14,95,76,-14,-11,4,-14,-20,-32,-16,-12,-12,-6,-12,-6,0,-11,-8,-24,6,-30,-2,-13,-21,6,-6,6,23,-20,-4,-14,-17,-10,-10,-24,2
Sphingosine Kinase Inhibitor (SKI II),22.51528613,6,11,18,-4,-5,-19,-1,-7,4,-15,-24,10,-14,-11,20,-7,19,-25,5,6,2,2,-2,-2,-18,-11,-1,0,-8,-2,-20,-12,-6,-4,1,36,-13,-17,0,21,-1,0,-10,-18,8,16,2,-16,10,-1,-23,3,0,-19,-4,4,-8,5,12,-7,-13,-12,-5,1,-8,-8,12,-9,-32,-8,6,-6,-28,-19,-32,-25,4,1,30,55,28,13,3,-2,-3,-3,3,-31,12,11,3,-9,8,-5,-20,-3,-2,-15,-12,-8,0,-8,-15,-4,-6,5,-6,-1,-8,-4,7,2,-2,-8,-9,16,4,-14,-8,-39,-4,-6,-14,0,-38,-4,18,9,-18,8,4,-18,-11,3,-9,-10,22,-1,6,-2,-3,-12,28,-16,-6,-16,-10,-10,-19,-5,-11,-3,-6,-9,2,-47,13,-17,-15,-29,23,-26,7,0,-24,3,-23,-10,-5,-21,-2,-5,-15,-15,22,0,-9,6,-6,0,-13,3,0,-15,-10,22,-4,-9,3,-7,-22,0,5,-10,3,-13,25,9,7,11,-13,-12,-11,-23,-14,-12,-1,-10,-5,-16,-5,-17,-12,-6,-18,1,-14,0,-23,-13,-4,-8,26,-10,-1,3,-18,4,2,-17,-9,-23,-15,-10
Staurosporine,98.84923692,80.5,101.5,100,40.5,100.5,102.5,96.5,96,98.5,105.5,99.5,97,97,100.5,97.5,60,99,100,97.5,98.5,101,99.5,99.5,97.5,97,99.5,101,99,98.5,99.5,99.5,59.5,96,99,101,97,-1.5,18.5,7,18.5,14.5,16,90.5,99,45,2,71,96.5,94,97.5,94.5,96,86.5,99,35.5,15,47.5,97,75,97.5,83,92,79.5,70.5,81.5,78.5,3,30,43,94.5,98,100,99.5,99,98,51,99.5,100,100.5,100.5,99.5,100.5,101,92,84,99.5,99,92.5,99,98.5,99,9.5,50.5,22,7.5,85.5,94.5,61.5,80.5,94.5,94.5,99,98.5,97.5,100,100,44,40.5,84.5,98.5,100.5,101.5,98.5,23,99,99.5,36,28.5,92,3,100.5,97,99,98,96,99.5,99,89,100,100,90.5,98.5,100.5,99.5,99.5,10,100.5,95.5,99.5,4.5,-3,101,57,36.5,6,8,-6,72,98.5,94.5,98.5,100,99,101,101,95.5,94.5,97,99.5,96.5,99.5,93,96,99.5,89.5,95,100,99.5,99,96.5,98.5,99.5,99,81.5,97.5,99,43.5,98.5,95,97,99,51.5,14,78.5,99,100,98.5,98.5,96.5,57,95.5,99,86,96.5,98.5,96.5,100,99,98,15,-1,65,78.5,94.5,86.5,59,99,33.5,91,46,99,99,88,100,99.5,100.5,98.5,83,17,98,99.5,100,85.5,100,100.5,77.5,99,101,-3.5,12.5,16.5,99,94.5,98.5
