,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
GSK635416A,0.247827754,0.01,0.28,-0.41,-0.29,-0.01,0.21,0.06,-0.33,0.25,0.28,0.33,0.18,0.04,0.5,-0.12,-0.74,0.21,-0.32,0.21,0.07,-0.17,0.11,0.18,0.09,0.03,0.09,-0.04,0.04,-0.18,-0.2,0.34,-0.2,,-0.11,-0.09,0,0,-0.85,-0.29,-0.32,-0.39,0.46,0.55,0,0.11,-0.31,0.29,-0.4,-0.17,-0.61,0.09,-0.21,-0.32,-0.35,0.22,-0.44,-0.02,-0.28,-0.81,0.09,-0.18,-0.13,0.08,0.94,0.17,-0.45,-0.02,-0.14
GSK711701A,1.877395866,0.07,1.81,-0.47,-0.85,-0.08,1.39,-0.37,-0.23,3.24,0.28,3.07,0.86,0.25,0.15,0,-0.67,2.4,-0.27,0.45,-0.05,2.92,0.12,0.25,-0.04,-0.5,2.05,1.87,0.98,-0.53,-0.67,0.06,0.31,,0.3,0.35,0.07,0.27,2.09,-0.19,0.19,6.43,0.64,1.14,0.33,0.84,-0.24,0.64,-0.36,0.69,0.92,4.47,0.55,-0.32,-0.39,1.46,0.09,0.71,-0.01,-0.65,-0.02,-0.26,0.17,0.19,0.79,2.74,0.33,0.08,-1.06
GSK718429A,4.45452739,0.07,2.15,-1.11,-1.67,-0.35,0.7,-1.1,-0.11,,1.87,0.91,4.47,0.98,2.6,-1.14,,0.25,-0.52,0.87,-0.03,-0.01,0.69,-0.33,0.3,-0.4,1.1,-0.53,-1.15,0.58,-0.6,0.2,-0.38,0.45,0.09,0.2,-1.5,0.15,1.59,0.34,-0.72,-0.47,2.3,2.79,1.42,1.77,0.59,1.51,-2.67,-2.95,3.28,0.83,-5,-2.77,-2.25,1.79,-0.63,0.51,-0.86,-1.32,0.82,-1.78,0.22,0.8,-0.78,-0.52,-0.36,1.74,-2.59
GSK938890A,3.163110156,0.08,0.21,-0.24,-0.56,-0.34,0.34,-0.53,-0.6,0.52,0.78,-0.13,0.45,-0.17,0.24,8.51,-0.99,0.22,0.54,0.41,1.06,-0.62,0.39,1.09,-0.32,1.43,0.19,0.06,0.17,0.43,3.44,2.37,0.66,0.7,-0.14,-0.92,0.16,2.65,0.14,0.9,2.02,-0.7,-0.21,2.74,2.59,1.22,-0.35,0.7,-0.13,0.19,-0.31,4.71,0.27,-0.42,0.02,-0.46,-0.69,0.31,-0.21,-0.55,-0.05,-0.26,0.04,1.33,-0.85,0.03,-0.08,0.12,-0.11
GSK949675A,1.234020004,-0.09,0.14,-0.32,-0.74,-0.08,0.15,-0.47,-0.3,-0.21,0.36,-0.11,-0.32,2.33,-0.22,3.07,-0.92,0.06,0.24,-1.02,-0.05,-0.34,0.34,0.25,0.05,0.15,0.41,-0.23,0.22,-0.15,0.43,0.21,-0.27,0.09,-0.21,-0.87,0.32,0.09,0.21,0.08,0.76,-0.4,0.08,2.1,1.65,0.8,-0.28,-0.06,-0.16,0.05,-0.12,2.19,-0.19,0.05,0.24,-0.46,-0.4,-0.01,0.18,-0.22,-1.63,-0.78,0.15,0.3,-1.23,0.07,0.71,0.2,0.4
GSK980961A,0.561781244,-0.13,0.08,-0.18,-0.92,-0.24,2.74,0.68,-1.51,0.28,0.11,0.18,0.71,0.72,1.02,0.48,-0.86,0.35,-0.32,0.51,0.55,0.23,0.5,0.29,0.04,-0.5,-0.08,1.28,1.42,-0.59,0.77,-1.03,-0.23,,-0.09,-0.29,0.59,0.15,-0.1,0.52,1.38,-0.45,0.58,2.12,0.77,0.23,-0.31,0.49,-0.21,2.38,-0.22,1.46,0.1,-0.3,0.02,0.2,0.39,0.21,-0.44,0.12,0,-0.19,-0.17,1.9,0.34,0.21,0.73,-0.3,-0.7
GW275616X,3.180102007,0.26,1.35,-0.19,-0.88,0.15,1.7,-0.77,-0.09,1.29,1.95,3.1,4.17,0.56,0.77,1.18,-1.12,2.46,0.84,1.04,1.27,4.86,1.24,0.38,0.08,1.59,3,0.34,0.2,-0.26,4.2,-0.79,-0.13,,0.35,2.58,2.77,4.78,1.34,2.47,4.55,5,7.38,1.09,0.8,0.48,-0.13,0.64,2.94,4.91,0.25,2.52,1.34,2.25,0.96,0.88,-0.31,0.27,-0.06,-0.42,0.65,0.29,0.32,3.91,0.69,3.63,-0.08,2.19,-0.45
GW275944X,1.165132145,0,2.94,0.35,-0.32,0.04,2.55,-0.3,0.9,4.63,4.35,2.82,5.24,,0.51,0.85,0.81,1.74,0.22,0.53,2.64,2.81,0.89,-0.39,-0.27,0.01,1.49,-0.2,0.23,0.66,1.99,0.32,-0.58,0.5,0.73,0.98,1.35,2.43,1.89,3.95,6.1,5.27,6.95,2.09,1.22,0.84,0.1,0.89,2.61,6.5,1.11,3.77,3.37,8.91,2.77,0.83,0.65,-0.18,0.09,0.29,0.25,0.19,0.69,2.38,2.58,2.32,1.71,4.02,-0.01
GW276655X,2.301781811,0.16,1.64,-0.19,-0.81,-0.12,3.5,-0.9,-1.29,0.65,2.83,3.13,4.23,0.04,0.44,0.86,-1.26,2.21,0.22,0.89,6.18,2.05,1.31,0.28,0.17,1.81,1.5,0.45,0.18,-0.43,0.93,0.15,-0.16,,-0.46,0.32,1.68,1.45,1,3.04,5.38,7.1,9.74,5.48,3.48,4.39,-0.39,0.73,0.71,5.48,0.37,6.35,3.21,7.81,1.34,1.13,-0.23,0.04,-1.4,0.73,0.55,0.4,0.37,8.37,-0.71,8.45,1.96,3.07,-0.74
GW278681X,1.44068358,0.39,2.68,0.82,-0.1,0.85,1,-0.36,1.1,0.88,4.11,-1.49,4.59,0.53,2.06,1.01,-0.12,2.19,1.3,0.62,1.48,4.75,0.49,1.28,0.16,0.42,3.1,0.07,0.59,0.71,2.82,1.03,0.17,1.66,0.64,1.35,1.39,6.36,-1.5,3.21,5.32,1.5,8.11,0.65,0.63,0,0.14,0.3,4.1,5.59,1.15,5.22,1.78,4.25,1.16,1.78,0.51,0.08,0.01,0.54,0.08,0.09,0.64,2.34,1.54,3.2,0.39,3.02,0.7
GW279320X,0.820692853,0.12,0.2,0.1,-0.16,0.13,0.13,-0.14,-0.05,0.51,0.35,0.04,0.15,,-1,0.1,-0.21,0.14,-0.04,-0.09,-0.18,0.22,0.48,-0.03,-0.24,-0.02,-0.13,0.17,0.13,0,-0.76,0.43,-0.52,-0.45,0.11,0.07,-0.01,-0.25,0.09,-0.08,0.28,0.05,0.72,-0.02,0.46,0.49,-0.24,0.1,-0.09,0.51,0.06,0.05,0.04,-0.18,-0.14,-0.11,0.03,-0.07,0.16,-0.13,0.04,0.07,-0.41,0.25,-0.9,-0.17,-0.4,0.92,-0.05
GW280670X,2.353447705,0.53,2.86,0.96,0.55,0.04,2.36,-0.16,0.84,-1.1,4.8,3.09,5.42,1.28,0.23,1.6,3.28,2.6,-0.17,2.05,1.63,5.14,1.23,-0.26,-0.1,0.69,1.49,0.67,0.67,0.06,1.62,1.16,-0.29,,-0.43,1.26,1.42,1.28,3.13,3.43,6.71,6.12,8.54,2.98,2.97,2.56,-0.27,1.28,3.86,5.31,1.68,3.56,3.22,9.79,1.25,2.17,0.43,-0.38,0.44,0.11,0.11,0.58,0.27,2.69,-0.04,4.11,1.2,3.28,-0.2
GW282449A,7.244485659,0.31,1.2,2.8,-0.88,-0.35,2.18,-0.13,-1.24,0.16,0.19,0.13,0.99,2.98,9.64,-0.08,-0.82,-0.06,-0.1,0.59,0.31,2.24,0.78,0.38,0.15,1.77,-0.09,-0.09,0.05,-0.59,-0.01,-0.53,-0.16,,-0.14,-0.35,0.33,0.77,-1,1.74,2.03,0.63,1.15,0.76,0.41,0.14,-0.38,0.86,0.03,0.57,0.79,0.85,0.03,-0.43,0.02,0.79,-0.55,-0.04,-1.14,-0.46,0.2,-0.15,-0.41,0.52,0.58,0.14,-0.98,0.6,-0.41
GW282536X,1.251241969,-0.01,0.9,0.07,-0.55,-0.04,1.29,-0.13,0.02,1.03,1.09,1.95,2.59,,-0.35,0.31,0.3,1.03,-0.05,0.42,2.81,1.89,0.02,0.23,-0.33,0.39,1.21,0.17,0.5,-0.19,-0.18,0.77,0.06,0.18,0.35,0.67,0.08,0.18,1.66,-0.02,0.42,2.44,1.49,-0.15,0.34,0.24,-0.02,0.63,0.26,0.7,0.75,3.16,0.1,0.05,-0.04,0.6,0.29,-0.07,-0.02,-0.02,0.18,0.04,-0.12,0.81,1.67,1.72,0.84,1.83,-0.08
GW282974X,5.585037074,0.42,0.61,3.13,0.03,0.12,0.35,-0.53,0.48,0.68,0.01,-2.53,0.4,1.69,8.66,-0.01,-0.7,0.06,0.09,0.32,0.27,1.33,0.3,1.05,-0.12,-0.62,-0.27,-0.16,-0.14,-0.29,-0.49,-1.59,-0.43,7.33,0.08,-0.5,0.08,0.77,-1.55,0.76,2.06,1.87,1.61,0.3,1.71,0.43,-0.55,0.83,-0.45,0.18,0.39,1.7,-0.08,0.16,0.1,-0.17,-0.59,-0.01,-0.27,0.01,0.02,-0.05,-0.38,0.45,0.75,1.01,-0.21,0.09,-0.52
GW284372X,6.176723852,0.07,0.07,1.16,0.16,-0.55,-0.69,-0.22,0.45,1.34,1.5,-0.93,-0.35,,1.22,1.81,-0.02,-0.29,-0.28,-0.29,0.21,0.56,0.39,-0.06,-0.55,3.6,-0.13,0.04,-0.67,0.01,-0.76,-0.17,-0.26,0.12,0.01,0.02,0.14,0.59,0.4,0.11,0.07,-0.29,1.24,1.84,1.22,1.34,-0.27,2.05,1.1,-0.03,0.85,1.05,0.38,0.08,0.62,1.26,-0.53,-0.93,-0.58,-0.45,0.17,0.25,-0.55,1.02,1.15,0.84,0.68,0.67,-0.54
GW284408X,2.043452342,0.49,2.96,0.44,-0.44,1.29,1.74,-0.92,0.6,1.86,3.29,2.6,4.11,0.68,1.21,1.05,-0.6,2.57,0.7,1.26,2.35,4.12,1.07,0.5,-0.22,2.4,3.88,0.32,0.19,-0.56,2.68,-0.72,-0.18,2.26,0.4,2.49,1.89,7.24,2.27,2.94,5.58,5.6,8.48,0.82,1.9,0.92,-0.31,0.68,6.16,6.66,2.06,4.25,1.32,2.36,0.94,1.92,-0.66,-0.01,-0.1,0.66,0.52,0.03,0.25,4.97,2.23,4.39,0.27,3.67,-0.62
GW290597X,1.423461615,0.21,0.58,0.45,-0.56,-0.03,1.43,-0.71,-0.16,1.04,2.44,0.37,1.08,-0.03,-0.46,0.46,-0.57,-0.04,0.56,5.96,2.13,4.03,1.64,0.44,-0.05,3.72,2.66,0.35,0.25,-0.43,1.64,-1.05,-0.35,0.88,0.22,0.29,1.04,4.89,1.56,3.37,5.98,9.12,11.59,2.94,3.14,2.83,-0.14,0.57,0.41,6.56,0.94,5.08,2.31,7.99,3,0.57,-0.43,1.09,0.49,1.23,0.52,0.01,0.78,6.99,1.56,5.48,0.65,4.8,-0.14
GW296115X,3.432213147,1.72,0.42,1.75,2.1,-0.32,0.16,-0.89,1.63,0.05,2.7,-1.66,5.7,0.13,3.39,3.1,1.66,1.03,0.31,1.26,0.18,1.1,1.7,-0.01,-0.37,1.3,0.9,0.6,3.52,-0.47,4.03,-1.32,-0.55,0.06,1.01,3.75,2.5,9.83,-1.57,5.36,10.58,3.5,18.31,9.76,12,7.5,-0.23,1.64,3.1,2.6,8.44,5.21,2.04,2.16,1.12,0.86,-0.09,-0.33,0.07,0.94,2.63,1.35,0.41,3.73,7.11,4.37,5.41,3.91,0.97
GW297361X,4.919520435,2.27,3.57,1.31,-0.59,0.11,1.51,-0.36,3.92,9.08,11.4,2.89,9.22,2.71,4.84,3.73,-0.74,7.42,3.46,9.66,5.68,5.47,5.88,0.33,0.08,0.62,6.96,5.64,-0.1,0.93,11.02,-0.8,0.95,,3.06,4.97,6.01,11.62,0.5,6.44,12.5,12.2,15.81,4.72,4.62,4.87,-0.06,4.48,5.78,9.34,5.62,10.43,5.57,12.97,4.04,4.19,-0.3,-0.28,0.04,3.36,3.35,1.98,3.41,10.24,-0.2,3.75,6.21,9.18,-0.97
GW300653X,2.422335563,-0.21,1.86,1.29,-0.75,-0.23,1.6,-1.47,-0.04,1.46,1.15,1.2,3.54,,-0.36,0.38,-0.02,0.07,0.06,0.1,0.94,2.9,-0.05,0.13,-0.29,0.18,0.41,0.8,0.64,-0.01,-0.07,-0.46,-0.34,-0.27,0.4,0.69,0.26,0.45,4.12,1.18,1.6,-0.3,1.04,-0.56,-0.17,-0.11,-0.13,0.81,0.28,1.8,0.9,2.07,0.72,5.27,0.77,0.19,-0.07,-0.31,-0.02,0.21,-0.19,-0.04,-0.14,0.63,0.92,0.69,0.15,0.26,-0.04
GW300657X,1.854010731,0.12,0.38,0.08,-0.47,0.19,1.59,-0.16,0.38,1.8,3.1,0.42,1.54,1.44,0.13,0.51,-0.25,-0.04,1.11,4.16,1.77,6.13,1.56,0.6,0.23,3.89,5.25,1.04,0.39,-0.3,2.06,0.09,-0.12,1.07,0.51,0.71,2.13,5.62,3.27,3.77,6.35,11.57,13.04,3.01,2.08,2.25,0.24,0.44,1.07,7.08,2.52,5.06,3.27,9.28,4.01,0.96,0.81,2.48,1.35,2.87,0.53,0.12,0.65,6.19,2,4.3,0.79,5.84,0.26
GW300660X,2.456779493,0.23,0.76,0.18,-0.64,0.07,2.27,-0.62,-0.59,1.15,3.53,0.4,1.77,0.03,0.07,0.58,-0.44,0.65,1.78,4.78,3.23,4.97,1.52,0.28,-0.04,3.03,4.33,0.44,0,-0.67,1.83,-0.43,-0.21,1.19,0.22,2.84,1.25,8.55,3.32,4.99,7.97,9.77,12.75,5.57,5.23,4.99,-0.23,0.55,0.41,7.06,1.33,5.11,2.89,8.63,3.25,0.56,0.33,0.83,0.58,1.43,0.71,0.35,1,7.64,2.81,7.16,0.99,5.01,-0.26
GW301789X,0.95846857,0.25,2.01,0.36,-0.71,0.37,1.05,-0.94,0.34,1.3,3.81,2.59,3.95,0.7,0.48,1.12,0.46,2.05,0.57,0.96,1.06,4.59,1.46,0.38,-0.04,1.19,2.89,0.05,0.31,-0.18,3.48,-0.06,-0.26,,-0.04,1.98,1.39,4.59,1.87,3.06,5.37,5.07,7.33,0.94,1.35,0.23,-0.25,0.82,3.32,7.15,0.7,2.53,1.11,2.19,1.15,2.3,-0.32,0.19,0.17,0.39,0.53,0.12,-0.31,4.19,0.12,2.47,-0.07,4.45,-0.6
GW301888X,4.463774612,0.4,0.36,2.04,-0.79,0.96,1.3,-0.57,-1.23,0.4,0.33,-0.1,0.35,0.28,3.53,0.21,-0.75,-0.16,-0.13,-0.04,0.03,2.14,0.41,0.32,0.11,-0.45,0.16,0.18,-0.02,-0.33,0.09,-0.1,-0.49,,-0.19,-0.56,0.36,0.16,-0.73,0.43,1.46,2.19,1.07,0.84,1.69,0.9,-0.55,0.59,-0.18,0.32,0.04,1.13,0.26,0.14,-0.23,0.41,-0.41,-0.09,,-0.33,0,-0.2,-0.4,0.73,1.18,0.66,-0.2,3.18,3.78
GW305074X,1.982047029,1.3,1.98,1.86,-0.1,0.29,2.83,-3.5,1.25,3.04,1.95,-0.9,4.7,-0.59,1.86,1.34,0.02,1.51,1.5,2.8,4.57,1.05,0.62,0.77,0.08,1,0.01,4.57,0,-0.22,4.85,-0.43,-0.2,2.01,1.24,0.96,1.43,3.88,2.61,1.32,4.2,0.03,7.1,10.2,7.73,5.24,0.34,-0.19,4.18,1.63,4.35,2.81,1.48,2.79,0.8,2.56,0.08,0.02,-1.2,,3.29,0.36,0.34,5.12,4.78,3.42,1.19,2.45,
GW305178X,2.697886997,0.49,0.96,1.4,0.16,0.08,0.15,0.52,1.2,1.8,7.63,0.08,3.59,0.85,1.36,2.39,0.87,-0.17,1.79,4.65,5.32,-0.09,3.84,-0.26,-0.06,-0.93,2.76,4.64,2.38,0.23,5.69,-0.38,-0.46,,-0.33,-0.18,2.37,5.46,0.32,5.87,10.03,11.26,13.02,2.81,3.73,3.03,0.33,0.97,2.01,9.63,4.42,8.27,5.05,13.93,5.1,5.97,0.51,0.4,0.33,2.58,0.61,0.76,0.9,6.24,0.17,-0.27,5.16,7.49,-0.63
GW335962X,-0.074849308,0.46,3.27,0.43,0.02,0.78,0.19,-1.14,1.81,1.84,4.32,-1.47,5.4,0.47,2.17,0.55,-0.43,3.28,2.07,1.53,1.74,4.36,0.35,0.11,-0.14,1.67,3.82,0.2,0.2,-0.47,2.07,-0.9,-0.67,2.76,1.4,3.89,1.41,5.37,-2.42,2.1,4.59,4.61,6.06,0.42,1.21,0.89,0,0.68,4.59,5.44,1.26,3.44,1.65,5.89,2.53,2.35,-0.05,-0.03,0.6,0.26,0.15,-0.06,0.24,2.84,2.81,4.67,-0.13,4.33,-0.41
GW352430A,2.319003776,-0.22,0.37,0.25,-0.4,0.13,2.54,-0.56,0.63,2.58,3.31,0.53,1.23,,0.08,0.61,0.59,1.65,-0.02,-0.36,0.58,4.69,0.57,0.05,-0.32,0.76,2.6,0.04,0.27,-0.16,-0.53,-0.46,-0.63,-0.13,0.22,0.24,0.48,0.31,2.26,0.96,3.84,3.54,4.64,0.28,0.23,0.16,-0.02,0.45,2.35,6.48,1.59,3.86,0.98,7.81,2.14,1.71,0.27,-0.23,0.09,0.29,-0.49,0.13,0.13,3.35,2.07,1.08,1.66,2.86,-0.51
GW405841X,0.924024641,3.79,4.42,1.93,1.32,-0.08,6.09,-2,1.27,3.73,2.19,1.56,4.8,0.28,4.14,1.92,-0.7,-0.9,1.87,6.3,7.91,1.05,0.73,1.07,0.45,0.5,0.52,8.89,1,1.08,5.81,-1.1,0.12,0.83,1.88,2.48,3.21,6.41,-1.41,0.8,4.81,0.3,9.07,11.47,10.57,8.5,-0.16,0.99,2.99,3.54,8.82,5.17,3.06,4.04,1.83,-0.14,1.69,0.91,-0.85,0.8,4.56,1.16,3.77,8.6,9.31,0.6,0.5,6.09,-0.1
GW406108X,4.006756309,1.98,1.95,2,-0.2,-0.12,6.91,2.71,-1.04,,1.98,6,6.6,2.27,4.91,2.2,2.24,0.15,1.18,5.9,7.01,-0.12,0.81,1.22,0.1,0.6,0.86,6.81,0.12,0.12,5.52,0.21,0.12,,-0.13,0,4.8,6.99,4.9,4.06,6.62,-1.17,9.8,8.03,9.21,6.5,0.19,2.61,3.46,6.21,7.74,1.2,3.69,4.08,1.63,0.09,-0.4,1.89,1.01,0.74,4.8,1.6,9.07,10.76,0.39,1.7,0.6,4.81,-0.4
GW406731X,4.402861496,0.02,2.6,0.92,-0.41,-0.23,0.82,0.32,0.1,-0.58,0.28,-0.14,0.8,,1.1,0.22,-0.24,1.09,-0.01,1.12,3.61,0.23,-0.05,0.16,-0.29,-0.59,-0.15,-0.14,-0.2,-0.31,-0.31,-0.85,-0.06,-0.4,-0.07,-0.03,0.59,0.9,2.81,-0.06,0.38,0.9,0.54,-0.02,0.64,0.18,-0.25,-0.05,-0.09,1.07,1.36,0.82,0.09,-0.35,-0.13,-0.42,0.14,-0.11,-0.04,-0.12,-0.13,0.11,-0.56,2.73,0.68,1.67,0.7,0.2,-0.26
GW407323A,4.471749354,0.56,1.23,1.79,0.44,-0.29,3.58,-3.1,-0.02,1.26,2.15,,2.8,0.09,2.41,1.49,0.21,-0.82,0.84,3.5,6.27,-0.28,0.75,1.05,-0.16,-0.9,-0.1,5.25,0.5,-0.02,3.33,0.8,0,0.57,-1.87,0.98,0.92,2.84,3.69,1.27,2.55,-1,7.08,10.15,7.62,4.97,0.31,0.76,1.04,3.53,5.96,2.5,0.9,2.56,1.37,2.42,0.62,0.29,1.32,,2.43,0.34,,3.68,-0.2,0.6,2.29,2.52,-0.53
GW410563A,6.108292889,0.04,2.47,0.52,-0.76,-0.12,1.45,0.22,-1.14,0.08,-0.13,0.27,0.09,2.07,4.38,-0.16,0.83,0.14,-0.14,0.16,-0.39,2.42,0.33,-0.05,-0.27,0.41,0.04,1.09,1.87,-0.39,-0.42,0.31,-0.14,,0,0.43,-0.11,1.43,3.11,-0.45,0.38,0.33,2.02,0.66,0.34,0.18,0.12,0.9,-0.28,-0.02,4.27,0.65,-0.49,-0.71,-0.1,0.32,-0.51,0.04,-0.17,-0.63,-0.3,-0.24,-0.33,0.43,,1.79,-0.64,0.53,-0.15
GW416469X,4.316751673,-0.02,2.18,-0.06,0.08,0.43,0.98,-0.78,0.47,1.36,4.1,-1.46,2.26,-0.38,1.83,1,-0.59,2.3,0.23,1.53,1.95,3.7,-0.09,-0.06,-0.08,0.97,2.71,0.26,0.16,0.06,1.69,0.26,-0.71,0.9,0.57,1.97,1.01,4.66,-1.45,3.49,5.68,4.84,8.03,-0.11,0.47,-0.62,0.06,0.2,0.96,3.48,0.14,4.45,2.81,4.96,1.06,0.44,-0.08,-0.02,0.25,0.34,0.05,-0.06,-0.05,1.92,1.98,2.24,1.7,1.61,-0.16
GW416981X,1.389017686,0.41,4.27,0.18,-0.02,0.05,2.25,0.43,1.15,3.05,6.01,0.25,5.42,1.38,1.7,2.74,-0.35,1.77,2.92,3.61,4.87,10.03,3.25,1.78,0.24,6.71,7.28,2.39,1.87,-0.2,5.31,0.61,0.27,2.81,5.2,5.49,6.49,12.48,7.8,4.27,10.32,14.25,17.1,6.21,7.58,5.66,0.36,2.45,2.3,10.36,4.54,8.66,3.87,11.6,4.37,3.98,2.78,1.02,2.61,4.16,1.68,0.96,1.94,10.13,6.07,8.95,4.62,8.87,0.32
GW429374A,2.095118235,1.21,1.82,2.41,1.52,0.66,1.89,-1.3,1.42,1.75,1.37,-1.71,6.7,-0.98,4.05,1.36,1.57,-0.5,1.97,4.29,5.94,1,0.49,0.16,0.43,0.72,0.6,9.45,0.1,0.01,8.78,0.27,0.02,0.2,0.57,2.78,2,5.51,-1.77,-0.02,6.54,0.05,8.9,11.58,10.08,6,0.35,1.99,1.1,3.1,9.03,4.79,2.07,5.05,1.91,0.91,-1,0.82,1.53,,5.46,1.16,7.71,11.6,6.35,2.98,2.56,6.15,-0.1
GW432441X,2.542889316,0.44,1.24,1.21,-1.04,-0.31,0.02,0.66,-0.37,-0.29,0.02,0.01,0.4,,0.94,0.02,0.16,0.05,-0.64,-0.3,0.91,-0.17,-0.08,0.16,-0.49,0.04,-0.35,-0.2,0.16,-0.16,-0.98,-1.46,-0.44,-0.43,0.22,-0.25,0.06,-0.16,-0.42,-0.03,0.23,-0.8,-0.44,-0.21,0.29,-0.04,-0.38,0.81,0.01,-0.19,1.19,-0.25,-0.19,-0.4,-0.11,-0.34,-0.28,-0.36,-0.17,-0.3,-0.19,-0.08,-0.24,0.2,0.36,0.31,-0.25,0.51,-0.61
GW434756X,2.908957331,-0.16,1.25,-0.19,-0.41,-0.12,1.49,-0.46,-0.63,-0.65,-2.09,-0.7,2.74,2.7,1.26,-0.1,-0.27,6.15,1.5,0.07,0.29,1.48,-0.36,-0.03,0.06,0.85,-0.23,4.73,5.04,0.48,-0.53,-0.92,3.33,-0.46,0.06,-0.49,-0.26,0.26,1.73,-0.91,-0.07,0.41,-0.42,0.72,1.2,-0.23,-0.41,-0.5,-0.33,0.44,4.65,0.63,-0.51,0.01,-0.37,2.76,-0.78,-0.24,-0.07,-0.74,-0.2,-0.39,0.52,0.09,0.4,0.26,3.46,0.8,-0.34
GW435821X,6.624494933,-0.05,2.79,0.67,-0.74,-0.37,1.22,0.37,-1.77,-0.23,0.12,-0.19,0.52,0.26,1.24,0.07,0.12,0.62,-0.3,0.87,3.96,-0.32,0.34,-0.06,-0.21,1.52,-0.34,0.24,0.18,-0.58,-0.96,-0.12,-0.4,,-0.76,-0.62,0.72,0.27,4.29,0.45,1.04,0.9,0.66,0.81,1.41,0.84,-0.6,0.5,-0.42,0.83,1.15,-0.05,0.12,-0.37,0,-0.17,-0.89,0.09,-0.19,-0.49,-0.08,-0.14,-0.31,2.96,0.26,1.82,0.78,-0.28,-0.79
GW439255X,5.332847586,0.13,2.36,2.27,-0.46,-0.31,1.03,0.06,-0.49,0.71,0.55,0.19,0.98,0.82,1.17,0.89,,1.7,-0.05,1.57,3.94,-0.03,0.43,0.17,-0.05,2.66,-0.24,-0.08,0.17,-0.41,-0.06,-0.84,0.75,,-0.42,-0.54,0.66,0.73,4.34,0.14,0.91,0.45,0.61,2.41,0.98,0.85,-0.11,1.26,0.93,1.02,0.95,0.35,0.52,-0.47,0.1,0.42,0.07,-0.08,-0.46,-0.48,-0.56,-0.04,-0.32,2.79,0.59,2.5,0.17,-0.27,-0.97
GW440139B,8.036864324,0.42,6.22,1.66,0.37,0,0.24,0.7,-0.19,-0.48,-0.02,-1.72,2.69,0.71,4.22,0.45,0.09,0.92,0.33,0.4,0.1,1.66,-0.08,0.17,-0.12,0.45,-0.02,0.22,0.66,-0.26,-0.32,-0.46,0.33,0.53,0.28,-0.27,-0.09,1.35,-1.87,-0.14,0.45,-0.19,-0.02,0.84,2.15,1,0.02,0.04,-0.07,0.87,6.74,1.52,0.16,-0.1,0.16,0.46,-0.18,-0.21,0.13,-0.19,-0.04,-0.21,-0.23,1.54,0.43,0.79,0.46,0.17,0.25
GW441756X,2.81844075,0.23,0.82,0.43,0.04,0.51,4.23,1.25,0.01,0.4,0.52,0.96,1.71,2.9,3.39,2.38,0.85,2.76,0.59,0.32,0.04,3.33,0.47,-0.21,-0.03,2.82,1.07,0.44,0.25,0.26,2.82,-0.04,-0.13,,-0.19,0.99,0.95,3.66,1.47,2.71,4.27,5,6.82,1.75,1.85,1.54,0.54,1.22,3.17,5.73,3.54,6.04,1.08,0.17,0.59,0.95,-0.1,0.2,0.1,-0.43,0.14,0.37,0.22,4.08,1.21,2.1,-0.06,2.98,0.19
GW441806A,7.520037093,0.99,4.46,2.51,-0.51,-0.18,1.82,1.69,-0.66,0.2,0.46,0.46,0.77,0.39,3.48,0.08,-0.19,-0.02,0.01,1.92,0.63,0.95,0.1,-0.14,-0.07,0.03,0.16,-0.11,0.14,-0.01,-0.02,0.78,0.15,,-0.83,0.19,0.5,0.94,5.1,0.54,1.21,0.33,1.55,1.52,1.74,0.94,-0.31,0.68,-0.11,1.01,2.87,1.04,-0.18,-0.22,0.11,0.14,-0.22,0.17,0.11,-0.17,-0.33,-0.05,-0.45,2.89,0.3,2.72,0.31,-0.32,-0.3
GW442130X,6.021726171,1.97,2.12,1.93,0.85,0.51,0.7,-1.22,0.19,1.48,0.61,-1.68,1.85,-0.84,1.34,1.89,-1.01,0.1,1.49,1.96,0.03,0.92,-0.84,0.32,-0.08,-0.5,0.13,3.1,-1.14,-0.37,6.14,-1.49,-0.4,0.44,0.29,1.37,2.98,2.35,-1.6,,6.33,2.78,7.9,-1.38,1.37,1.61,0.02,1.07,1.21,0.98,4.32,0.2,1.17,3.88,2.32,-0.17,-1,-0.11,,,0.74,0.49,4.18,6.18,3.48,1.03,-0.39,3.69,-0.06
